Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
39,2;2,67E+09;2,84E+09;3,11E+09;1,49E+08;2,19E+08;1,17E+08;5,57E-02;7,72E-02;3,77E-02
42,9;2,58E+09;2,74E+09;3,06E+09;1,64E+08;1,78E+08;1,36E+08;6,36E-02;6,48E-02;4,45E-02
46,8;2,51E+09;2,67E+09;2,90E+09;1,51E+08;1,79E+08;1,00E+08;6,02E-02;6,70E-02;3,45E-02
50,5;2,42E+09;2,59E+09;2,85E+09;1,31E+08;1,50E+08;9,98E+07;5,42E-02;5,78E-02;3,51E-02
54,3;2,35E+09;2,50E+09;2,73E+09;1,61E+08;1,38E+08;1,18E+08;6,85E-02;5,50E-02;4,31E-02
58,1;2,28E+09;2,41E+09;2,67E+09;1,68E+08;1,27E+08;1,11E+08;7,36E-02;5,26E-02;4,16E-02
61,9;2,21E+09;2,35E+09;2,54E+09;1,52E+08;1,38E+08;9,76E+07;6,88E-02;5,88E-02;3,84E-02
65,6;2,15E+09;2,26E+09;2,46E+09;1,55E+08;1,19E+08;1,20E+08;7,24E-02;5,27E-02;4,88E-02
69,5;2,06E+09;2,17E+09;2,38E+09;1,18E+08;1,35E+08;1,06E+08;5,75E-02;6,20E-02;4,47E-02
73,3;1,91E+09;2,07E+09;2,26E+09;1,62E+08;1,33E+08;1,13E+08;8,48E-02;6,41E-02;4,99E-02
77,6;1,94E+09;1,95E+09;2,11E+09;1,78E+08;1,35E+08;1,11E+08;9,20E-02;6,93E-02;5,27E-02
81,4;1,66E+09;1,80E+09;1,99E+09;1,65E+08;1,43E+08;1,29E+08;9,90E-02;7,94E-02;6,51E-02
85,2;1,50E+09;1,66E+09;1,86E+09;1,91E+08;1,52E+08;1,24E+08;1,27E-01;9,14E-02;6,68E-02
89,1;1,34E+09;1,53E+09;1,74E+09;2,07E+08;1,62E+08;1,32E+08;1,55E-01;1,05E-01;7,57E-02
93;1,18E+09;1,39E+09;1,59E+09;2,27E+08;1,64E+08;1,46E+08;1,94E-01;1,18E-01;9,17E-02
96,8;9,96E+08;1,23E+09;1,46E+09;2,45E+08;1,87E+08;1,56E+08;2,46E-01;1,52E-01;1,07E-01
100,6;7,74E+08;1,03E+09;1,28E+09;2,59E+08;2,06E+08;1,70E+08;3,35E-01;2,00E-01;1,33E-01
104,5;5,03E+08;7,54E+08;1,04E+09;2,48E+08;2,31E+08;1,94E+08;4,93E-01;3,06E-01;1,87E-01
108,6;2,11E+08;4,25E+08;6,49E+08;1,72E+08;2,00E+08;2,08E+08;8,14E-01;4,71E-01;3,20E-01
113,5;3,51E+07;1,19E+08;2,87E+08;5,19E+07;1,03E+08;1,60E+08;1,48E+00;8,69E-01;5,58E-01
118,3;9,13E+06;3,03E+07;1,31E+08;1,45E+07;4,43E+07;1,16E+08;1,58E+00;1,46E+00;8,91E-01
123,2;4,20E+06;9,63E+06;5,04E+07;4,91E+06;1,55E+07;6,45E+07;1,17E+00;1,61E+00;1,28E+00
128;2,66E+06;5,03E+06;2,02E+07;2,09E+06;6,63E+06;3,15E+07;7,86E-01;1,32E+00;1,56E+00
132,7;2,00E+06;3,51E+06;9,95E+06;1,07E+06;3,45E+06;1,51E+07;5,38E-01;9,83E-01;1,52E+00
137,6;1,63E+06;2,49E+06;5,91E+06;6,39E+05;1,72E+06;7,75E+06;3,92E-01;6,92E-01;1,31E+00
142,4;1,45E+06;2,02E+06;4,15E+06;5,32E+05;1,09E+06;4,35E+06;3,66E-01;5,39E-01;1,05E+00
147,1;1,30E+06;1,92E+06;3,08E+06;4,39E+05;8,19E+05;2,62E+06;3,38E-01;4,26E-01;8,50E-01
151,7;1,06E+06;1,68E+06;2,45E+06;3,46E+05;5,17E+05;1,65E+06;3,25E-01;3,08E-01;6,75E-01
156,1;8,95E+05;1,40E+06;2,10E+06;3,25E+05;4,54E+05;1,17E+06;3,63E-01;3,23E-01;5,57E-01
160,5;8,66E+05;1,25E+06;1,80E+06;3,78E+05;4,03E+05;8,07E+05;4,36E-01;3,24E-01;4,49E-01
165,1;7,06E+05;1,11E+06;1,60E+06;3,63E+05;3,88E+05;6,07E+05;5,14E-01;3,49E-01;3,80E-01
169,7;5,06E+05;9,70E+05;1,47E+06;2,38E+05;3,42E+05;4,71E+05;4,71E-01;3,53E-01;3,21E-01
173,8;4,13E+05;8,66E+05;1,30E+06;2,35E+05;3,36E+05;4,98E+05;5,68E-01;3,89E-01;3,83E-01
178,3;3,18E+05;7,54E+05;1,28E+06;2,21E+05;3,09E+05;4,70E+05;6,95E-01;4,09E-01;3,67E-01
182,9;2,42E+05;6,32E+05;1,17E+06;1,96E+05;3,09E+05;3,76E+05;8,11E-01;4,88E-01;3,21E-01
187,3;2,24E+05;5,47E+05;1,04E+06;2,26E+05;2,92E+05;3,47E+05;1,01E+00;5,34E-01;3,33E-01
191,9;2,07E+05;4,81E+05;1,01E+06;2,01E+05;2,81E+05;2,96E+05;9,68E-01;5,84E-01;2,93E-01
196,4;9,00E+04;4,09E+05;9,01E+05;8,94E+04;2,72E+05;3,57E+05;9,94E-01;6,64E-01;3,96E-01
