Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
24,4;2,844E+09;3,117E+09;3,444E+09;2,465E+08;2,731E+08;1,524E+08;8,668E-02;8,762E-02;4,425E-02
28,1;2,707E+09;2,982E+09;3,308E+09;2,156E+08;2,562E+08;1,416E+08;7,966E-02;8,590E-02;4,280E-02
31,9;2,646E+09;2,899E+09;3,247E+09;1,948E+08;2,711E+08;1,652E+08;7,361E-02;9,350E-02;5,086E-02
36,0;2,592E+09;2,816E+09;3,127E+09;2,223E+08;2,353E+08;1,542E+08;8,577E-02;8,355E-02;4,929E-02
40,0;2,493E+09;2,707E+09;3,040E+09;2,598E+08;1,770E+08;1,622E+08;1,042E-01;6,537E-02;5,335E-02
43,9;2,421E+09;2,632E+09;2,930E+09;1,803E+08;2,020E+08;1,433E+08;7,449E-02;7,675E-02;4,891E-02
47,6;2,299E+09;2,538E+09;2,827E+09;1,799E+08;1,923E+08;1,627E+08;7,825E-02;7,574E-02;5,756E-02
51,2;2,285E+09;2,508E+09;2,751E+09;1,829E+08;1,612E+08;1,597E+08;8,003E-02;6,430E-02;5,804E-02
55,5;2,143E+09;2,386E+09;2,642E+09;1,688E+08;1,870E+08;1,769E+08;7,878E-02;7,838E-02;6,695E-02
59,9;2,130E+09;2,280E+09;2,541E+09;1,696E+08;1,651E+08;1,523E+08;7,963E-02;7,241E-02;5,995E-02
64,3;2,016E+09;2,177E+09;2,398E+09;1,682E+08;1,751E+08;1,586E+08;8,343E-02;8,046E-02;6,616E-02
68,7;1,923E+09;2,066E+09;2,303E+09;1,669E+08;1,471E+08;1,492E+08;8,678E-02;7,121E-02;6,478E-02
71,6;1,850E+09;2,001E+09;2,224E+09;1,658E+08;1,497E+08;1,415E+08;8,961E-02;7,484E-02;6,361E-02
75,2;1,762E+09;1,922E+09;2,137E+09;1,473E+08;1,433E+08;1,480E+08;8,360E-02;7,452E-02;6,925E-02
79,3;1,682E+09;1,820E+09;2,016E+09;1,515E+08;1,448E+08;1,468E+08;9,006E-02;7,955E-02;7,281E-02
83,7;1,584E+09;1,717E+09;1,912E+09;1,537E+08;1,358E+08;1,465E+08;9,701E-02;7,909E-02;7,662E-02
87,6;1,498E+09;1,632E+09;1,822E+09;1,434E+08;1,327E+08;1,377E+08;9,573E-02;8,131E-02;7,556E-02
91,7;1,418E+09;1,563E+09;1,736E+09;1,470E+08;1,335E+08;1,363E+08;1,037E-01;8,542E-02;7,853E-02
95,5;1,350E+09;1,473E+09;1,636E+09;1,241E+08;1,183E+08;1,254E+08;9,193E-02;8,026E-02;7,665E-02
99,7;1,205E+09;1,380E+09;1,555E+09;1,382E+08;1,265E+08;1,191E+08;1,146E-01;9,170E-02;7,657E-02
103,6;1,150E+09;1,280E+09;1,446E+09;1,627E+08;1,353E+08;1,282E+08;1,415E-01;1,057E-01;8,867E-02
107,5;9,863E+08;1,141E+09;1,326E+09;1,898E+08;1,516E+08;1,333E+08;1,924E-01;1,329E-01;1,005E-01
111,4;7,631E+08;9,549E+08;1,168E+09;2,181E+08;1,787E+08;1,468E+08;2,858E-01;1,871E-01;1,256E-01
115,6;4,852E+08;6,860E+08;9,069E+08;2,191E+08;2,134E+08;1,965E+08;4,516E-01;3,111E-01;2,167E-01
120,3;9,857E+07;2,390E+08;3,959E+08;1,056E+08;1,432E+08;1,753E+08;1,072E+00;5,992E-01;4,429E-01
125,0;1,472E+07;6,438E+07;2,149E+08;2,724E+07;7,694E+07;1,432E+08;1,851E+00;1,195E+00;6,661E-01
129,7;7,220E+06;2,219E+07;1,015E+08;9,643E+06;3,380E+07;1,011E+08;1,336E+00;1,523E+00;9,966E-01
134,3;4,302E+06;9,018E+06;4,135E+07;3,805E+06;1,308E+07;5,653E+07;8,845E-01;1,450E+00;1,367E+00
139,0;3,313E+06;5,808E+06;1,917E+07;1,714E+06;6,344E+06;2,925E+07;5,174E-01;1,092E+00;1,526E+00
143,6;3,002E+06;4,277E+06;1,059E+07;9,144E+05;3,253E+06;1,516E+07;3,046E-01;7,606E-01;1,430E+00
148,1;2,775E+06;3,533E+06;7,085E+06;4,584E+05;1,844E+06;8,352E+06;1,652E-01;5,220E-01;1,179E+00
152,5;2,670E+06;3,161E+06;5,317E+06;2,731E+05;1,092E+06;5,073E+06;1,023E-01;3,455E-01;9,539E-01
157,4;2,753E+06;3,000E+06;4,166E+06;2,307E+05;5,908E+05;2,940E+06;8,381E-02;1,970E-01;7,057E-01
162,2;2,712E+06;2,849E+06;3,651E+06;1,909E+05;3,853E+05;1,751E+06;7,040E-02;1,353E-01;4,796E-01
166,5;2,592E+06;2,805E+06;3,187E+06;9,713E+04;2,628E+05;1,203E+06;3,747E-02;9,371E-02;3,775E-01
170,8;2,523E+06;2,676E+06;2,942E+06;7,704E+04;1,907E+05;7,892E+05;3,053E-02;7,127E-02;2,683E-01
175,1;2,517E+06;2,800E+06;2,797E+06;1,944E+05;1,799E+05;6,044E+05;7,722E-02;6,423E-02;2,161E-01
179,5;2,350E+06;2,640E+06;2,668E+06;8,584E+04;6,020E+04;4,121E+05;3,653E-02;2,280E-02;1,544E-01
184,1;2,366E+06;2,425E+06;2,475E+06;1,856E+05;9,391E+04;2,750E+05;7,843E-02;3,873E-02;1,111E-01
188,3;2,184E+06;2,333E+06;2,393E+06;8,556E+04;9,886E+04;1,520E+05;3,918E-02;4,237E-02;6,353E-02
192,6;2,166E+06;2,239E+06;2,379E+06;1,717E+05;7,312E+04;2,158E+05;7,924E-02;3,266E-02;9,070E-02
196,8;2,016E+06;2,167E+06;2,326E+06;9,094E+04;8,447E+04;1,325E+05;4,512E-02;3,899E-02;5,696E-02
