Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
-103,4;5,760E+09;6,054E+09;6,025E+09;2,858E+08;-2,462E+07;-2,936E+08;4,962E-02;-4,066E-03;-4,874E-02
-101,9;5,804E+09;6,211E+09;5,827E+09;1,200E+08;-1,193E+08;-2,864E+08;2,068E-02;-1,921E-02;-4,915E-02
-100,6;5,698E+09;5,903E+09;5,973E+09;2,289E+08;-1,910E+07;-2,976E+08;4,016E-02;-3,235E-03;-4,982E-02
-99,7;5,794E+09;5,718E+09;6,033E+09;2,143E+08;-1,588E+07;-2,331E+08;3,698E-02;-2,777E-03;-3,864E-02
-100,0;5,698E+09;5,643E+09;5,925E+09;1,412E+08;2,345E+08;-3,517E+08;2,478E-02;4,155E-02;-5,936E-02
-101,2;5,762E+09;6,002E+09;5,794E+09;-4,306E+07;-2,103E+08;-2,195E+08;-7,473E-03;-3,504E-02;-3,789E-02
-100,6;5,845E+09;5,972E+09;5,998E+09;4,704E+07;3,640E+07;-3,229E+08;8,048E-03;6,095E-03;-5,383E-02
-100,3;5,821E+09;5,996E+09;5,987E+09;1,900E+08;1,367E+08;-2,950E+08;3,264E-02;2,280E-02;-4,928E-02
-100,0;5,688E+09;5,785E+09;5,972E+09;1,430E+08;-1,823E+08;-2,505E+08;2,515E-02;-3,150E-02;-4,195E-02
-98,5;5,772E+09;5,490E+09;5,911E+09;1,519E+08;2,919E+08;-2,826E+08;2,632E-02;5,317E-02;-4,781E-02
-93,8;5,666E+09;5,851E+09;5,570E+09;-5,233E+07;-9,039E+07;-6,045E+07;-9,236E-03;-1,545E-02;-1,085E-02
-89,9;5,522E+09;5,659E+09;5,656E+09;8,873E+07;2,581E+07;-2,070E+08;1,607E-02;4,561E-03;-3,660E-02
-85,7;5,443E+09;5,320E+09;5,513E+09;2,258E+08;3,935E+07;-2,146E+08;4,148E-02;7,396E-03;-3,893E-02
-81,8;5,263E+09;5,317E+09;5,448E+09;1,409E+08;-2,963E+07;-1,311E+08;2,677E-02;-5,572E-03;-2,405E-02
-77,8;5,230E+09;5,417E+09;5,096E+09;9,993E+07;7,588E+06;-1,786E+07;1,911E-02;1,401E-03;-3,504E-03
-73,8;5,238E+09;5,197E+09;5,225E+09;1,603E+08;9,220E+07;-1,300E+08;3,061E-02;1,774E-02;-2,487E-02
-69,5;4,954E+09;5,090E+09;5,309E+09;2,170E+08;1,878E+08;-1,019E+08;4,380E-02;3,691E-02;-1,920E-02
-65,7;5,000E+09;5,260E+09;5,162E+09;1,608E+08;3,676E+07;-1,178E+08;3,216E-02;6,989E-03;-2,282E-02
-61,8;5,050E+09;5,243E+09;5,241E+09;2,179E+08;6,570E+06;-9,842E+07;4,316E-02;1,253E-03;-1,878E-02
-58,0;4,919E+09;5,031E+09;5,215E+09;2,500E+08;8,228E+07;-1,661E+08;5,083E-02;1,636E-02;-3,186E-02
-54,0;4,838E+09;4,840E+09;4,986E+09;2,243E+08;3,482E+06;-9,383E+07;4,637E-02;7,194E-04;-1,882E-02
-50,3;4,720E+09;4,917E+09;4,934E+09;1,905E+08;1,195E+08;-1,298E+08;4,036E-02;2,431E-02;-2,631E-02
-46,2;4,733E+09;4,918E+09;5,022E+09;6,016E+07;1,142E+08;-1,203E+08;1,271E-02;2,323E-02;-2,395E-02
-42,7;4,567E+09;4,738E+09;4,955E+09;2,960E+08;1,488E+08;-9,680E+07;6,481E-02;3,141E-02;-1,954E-02
-38,5;4,551E+09;4,693E+09;4,883E+09;2,059E+08;1,770E+08;-9,219E+07;4,526E-02;3,771E-02;-1,888E-02
-34,6;4,374E+09;4,656E+09;4,724E+09;3,070E+08;1,221E+08;-1,147E+08;7,019E-02;2,622E-02;-2,428E-02
-30,3;4,301E+09;4,482E+09;4,549E+09;3,156E+08;1,942E+08;-3,685E+07;7,337E-02;4,334E-02;-8,099E-03
-26,4;4,193E+09;4,522E+09;4,623E+09;2,858E+08;2,158E+08;-6,407E+07;6,817E-02;4,772E-02;-1,386E-02
-22,3;4,046E+09;4,398E+09;4,472E+09;2,672E+08;2,264E+08;-6,128E+07;6,605E-02;5,148E-02;-1,370E-02
-18,4;3,991E+09;4,250E+09;4,374E+09;3,084E+08;2,488E+08;-1,626E+07;7,728E-02;5,853E-02;-3,718E-03
-14,6;3,816E+09;4,042E+09;4,378E+09;3,690E+08;2,194E+08;-2,642E+07;9,670E-02;5,427E-02;-6,035E-03
-10,7;3,758E+09;3,967E+09;4,125E+09;2,564E+08;2,878E+08;2,557E+07;6,824E-02;7,255E-02;6,198E-03
-6,8;3,582E+09;3,898E+09;4,131E+09;3,295E+08;2,893E+08;4,567E+07;9,199E-02;7,421E-02;1,105E-02
-3,0;3,502E+09;3,843E+09;4,117E+09;2,885E+08;2,374E+08;2,361E+07;8,238E-02;6,178E-02;5,735E-03
0,9;3,457E+09;3,740E+09;3,969E+09;3,356E+08;3,384E+08;4,173E+07;9,708E-02;9,049E-02;1,051E-02
4,8;3,278E+09;3,649E+09;3,873E+09;2,537E+08;3,381E+08;9,717E+07;7,739E-02;9,264E-02;2,509E-02
8,6;3,184E+09;3,533E+09;3,828E+09;2,707E+08;3,061E+08;8,105E+07;8,502E-02;8,664E-02;2,117E-02
12,5;3,078E+09;3,442E+09;3,675E+09;2,734E+08;2,710E+08;8,851E+07;8,882E-02;7,875E-02;2,408E-02
16,5;3,064E+09;3,302E+09;3,637E+09;2,645E+08;2,708E+08;9,592E+07;8,631E-02;8,201E-02;2,637E-02
20,3;2,898E+09;3,300E+09;3,555E+09;2,789E+08;2,027E+08;1,178E+08;9,622E-02;6,143E-02;3,312E-02
