Temp(C);Modulus 10;Modulus 0,1;Modulus 1;Loss Modulus10;Loss Modulus 0,1;Loss Modulus 1;Tan Delta10,;Tan Delta,1;Tan Delta1,
39,3;2,225E+09;1,859E+09;1,972E+09;1,118E+08;1,267E+08;1,219E+08;5,024E-02;6,816E-02;6,181E-02
43,1;2,166E+09;1,802E+09;1,907E+09;1,048E+08;1,271E+08;1,228E+08;4,840E-02;7,054E-02;6,440E-02
46,9;2,065E+09;1,747E+09;1,851E+09;1,122E+08;1,205E+08;1,139E+08;5,436E-02;6,898E-02;6,153E-02
50,6;2,022E+09;1,685E+09;1,805E+09;1,031E+08;1,170E+08;1,084E+08;5,102E-02;6,943E-02;6,007E-02
54,5;1,951E+09;1,642E+09;1,743E+09;1,056E+08;1,228E+08;1,124E+08;5,416E-02;7,476E-02;6,449E-02
58,3;1,897E+09;1,593E+09;1,686E+09;1,031E+08;1,160E+08;9,742E+07;5,437E-02;7,282E-02;5,778E-02
62,4;1,822E+09;1,512E+09;1,609E+09;9,973E+07;1,229E+08;9,854E+07;5,474E-02;8,124E-02;6,124E-02
66,3;1,739E+09;1,445E+09;1,556E+09;9,030E+07;1,277E+08;1,043E+08;5,194E-02;8,835E-02;6,704E-02
70,4;1,686E+09;1,352E+09;1,455E+09;9,308E+07;1,402E+08;1,054E+08;5,520E-02;1,037E-01;7,238E-02
74,3;1,583E+09;1,216E+09;1,335E+09;9,462E+07;1,529E+08;1,129E+08;5,977E-02;1,257E-01;8,458E-02
78,1;1,462E+09;1,063E+09;1,188E+09;1,041E+08;1,614E+08;1,252E+08;7,120E-02;1,519E-01;1,055E-01
82,0;1,342E+09;8,603E+08;1,020E+09;1,095E+08;1,926E+08;1,484E+08;8,154E-02;2,238E-01;1,455E-01
85,8;1,199E+09;6,683E+08;8,697E+08;1,250E+08;2,057E+08;1,644E+08;1,043E-01;3,079E-01;1,891E-01
89,8;1,068E+09;4,631E+08;6,781E+08;1,376E+08;2,068E+08;1,812E+08;1,289E-01;4,465E-01;2,673E-01
94,8;8,852E+08;2,163E+08;3,559E+08;1,606E+08;1,582E+08;1,899E+08;1,814E-01;7,317E-01;5,337E-01
99,7;6,109E+08;5,670E+07;1,223E+08;1,722E+08;6,954E+07;1,149E+08;2,819E-01;1,227E+00;9,397E-01
104,6;3,268E+08;1,330E+07;3,855E+07;1,524E+08;1,960E+07;5,124E+07;4,663E-01;1,473E+00;1,329E+00
109,3;1,550E+08;5,450E+06;1,452E+07;1,182E+08;6,422E+06;2,054E+07;7,623E-01;1,178E+00;1,415E+00
114,2;6,402E+07;3,194E+06;6,188E+06;7,065E+07;2,705E+06;7,872E+06;1,103E+00;8,471E-01;1,272E+00
119,3;2,396E+07;2,183E+06;3,862E+06;3,384E+07;1,323E+06;3,646E+06;1,412E+00;6,059E-01;9,439E-01
124,3;1,097E+07;1,684E+06;2,620E+06;1,577E+07;7,989E+05;2,011E+06;1,438E+00;4,743E-01;7,675E-01
129,2;6,269E+06;1,368E+06;2,145E+06;7,945E+06;5,816E+05;1,208E+06;1,267E+00;4,251E-01;5,631E-01
133,8;4,356E+06;1,193E+06;1,835E+06;4,471E+06;4,783E+05;8,821E+05;1,026E+00;4,010E-01;4,807E-01
138,6;3,150E+06;9,452E+05;1,481E+06;2,692E+06;3,513E+05;6,033E+05;8,545E-01;3,716E-01;4,075E-01
143,1;2,516E+06;8,360E+05;1,293E+06;1,738E+06;3,970E+05;4,953E+05;6,908E-01;4,748E-01;3,830E-01
147,6;2,131E+06;7,057E+05;1,157E+06;1,200E+06;3,735E+05;4,322E+05;5,631E-01;5,293E-01;3,737E-01
152,0;1,884E+06;5,761E+05;1,024E+06;9,012E+05;3,513E+05;4,098E+05;4,782E-01;6,098E-01;4,001E-01
156,4;1,620E+06;4,141E+05;9,318E+05;6,803E+05;2,547E+05;3,687E+05;4,199E-01;6,152E-01;3,957E-01
160,7;1,394E+06;3,252E+05;8,017E+05;5,178E+05;2,190E+05;3,471E+05;3,714E-01;6,734E-01;4,329E-01
164,9;1,297E+06;3,053E+05;7,026E+05;5,095E+05;2,723E+05;3,388E+05;3,928E-01;8,919E-01;4,822E-01
169,3;1,238E+06;1,880E+05;4,799E+05;4,365E+05;1,710E+05;2,854E+05;3,525E-01;9,099E-01;5,948E-01
173,8;1,083E+06;1,834E+05;4,985E+05;4,725E+05;2,012E+05;2,991E+05;4,362E-01;1,097E+00;6,000E-01
178,3;9,451E+05;1,566E+05;4,296E+05;4,287E+05;1,724E+05;2,685E+05;4,536E-01;1,101E+00;6,251E-01
182,7;8,548E+05;1,300E+05;3,355E+05;3,866E+05;1,402E+05;2,705E+05;4,522E-01;1,079E+00;8,063E-01
187,1;7,814E+05;1,197E+05;2,969E+05;3,332E+05;1,143E+05;2,546E+05;4,265E-01;9,552E-01;8,574E-01
191,4;8,346E+05;3,222E+04;2,467E+05;4,343E+05;2,907E+04;2,035E+05;5,204E-01;9,021E-01;8,252E-01
195,8;6,300E+05;8,769E+04;1,886E+05;3,891E+05;8,226E+04;2,148E+05;6,176E-01;9,380E-01;1,139E+00
